Year,Fmin,Fmean,Fmax,TIME,HOUR,Manual.ID,Main.Habitat
2023,39212.004,41022.184,49259.156,01:14.2,4,scot,Wet Heathland
2023,38580.309,41126.586,49232.234,11:35.2,4,scot,Wet Heathland
2023,40204.082,44879.617,58445.516,11:36.2,4,scot,Wet Heathland
2023,39034.48,40747.59,49149.316,11:37.1,4,scot,Wet Heathland
2023,38996.457,40146.434,44211.273,11:43.5,4,scot,Wet Heathland
2023,39939.086,42025.297,52557.066,03:40.4,4,scot,Wet Heathland
2023,40782.945,47453.578,68965.773,03:45.1,4,scot,Wet Heathland
2023,40006.391,43898.562,58497.133,03:48.1,4,scot,Wet Heathland
2023,30283.352,31119.396,32287.883,02:15.7,4,ozimops ridei,Wet Heathland
2023,29343.555,30732.225,33728.746,02:17.6,4,goulds,Wet Heathland
2023,31004.059,32259.889,35062.961,25:07.1,4,goulds,Wet Heathland
2023,29990.852,31468.475,34179.164,25:09.5,4,ozimops ridei,Wet Heathland
2023,27865.545,28807.457,30278.523,02:20.6,4,ozimops ridei,Wet Heathland
2023,29849.471,31356.256,33846.172,02:21.7,4,ozimops ridei,Wet Heathland
2023,39276.441,40768.051,48336.375,20:24.1,4,scot,Wet Heathland
2023,39223.059,40706.926,46590.309,20:26.9,4,scot,Wet Heathland
2023,39291.723,40671.809,47842.266,4:25:36,4,scot,Wet Heathland
2023,39220.676,40151.504,42166.375,4:40:16,4,scot,Wet Heathland
2023,44705.297,54127.895,68046.648,38:38.6,4,,Wet Heathland
2023,42954.234,54286.867,73524.625,38:39.4,4,Nyctophilus,Wet Heathland
2023,43381.438,55051.73,74732.789,38:40.3,4,Nyctophilus,Wet Heathland
2023,30058.057,31536.42,34921.195,32:25.3,4,Ozimops ridei,Wet Heathland
2023,30468.477,32157.947,36539.418,32:30.5,4,ozimops ridei,Wet Heathland
2023,39493.602,41051.508,47068.258,37:58.2,4,scot,Wet Heathland
2023,43537.375,54185.09,70954.352,43:34.4,4,Nyctophilus,Wet Heathland
2023,39359.773,41855.551,52431.578,37:59.7,4,scot,Wet Heathland
2023,39344.297,40478.062,44666.805,4:41:50,4,scot,Wet Heathland
2023,39332.273,40819.789,46606.551,41:52.2,4,scot,Wet Heathland
2023,38925.543,40613.359,46298.453,41:55.7,4,scot,Wet Heathland
2023,38006.188,39319.613,44635.555,57:54.6,4,scot,Wet Heathland
2023,37303.156,40165.391,47423.359,01:43.1,5,scot,Wet Heathland
2024,37299.859,38683.391,42252.492,04:48.3,20,37,Wet Heathland
2024,38192.031,39797.293,45911.211,04:50.9,20,37,Wet Heathland
2024,38900.848,40113.617,44119.637,04:52.6,20,38khz,Wet Heathland
2024,38741.602,39683.773,42714.59,32:45.4,18,38khz,Wet Heathland
2024,39821.469,41197.883,43740.289,32:46.5,18,38khz,Wet Heathland
2024,38985.941,40008.164,41244.82,32:47.4,18,38khz,Wet Heathland
2024,38834.953,39786.797,44025.047,19:29:54,19,38khz,Wet Heathland
2024,29861.557,30446.852,31252.84,39:27.3,18,Ozimops Ridei,Wet Heathland
2024,29431.381,30270.482,31104.25,39:29.9,18,Ozimops ridei,Wet Heathland
2024,28127.439,28924.324,29803.727,39:33.5,18,Ozimops Ridei,Wet Heathland
2024,38280.117,39462.035,42598.773,37:08.9,18,38khz,Wet Heathland
2024,38018.879,39346.398,43413.871,37:10.0,18,38khz,Wet Heathland
2024,37345.695,38583.59,41760.918,37:13.5,18,38khz,Wet Heathland
2024,38496.824,39086.754,40972.469,14:43.2,19,38khz,Wet Heathland
2024,29851.578,30413.715,31007.752,19:29:14,19,38khz,Wet Heathland
2024,29684.908,30455.199,31621.047,26:27.0,18,Ozimops ridei,Wet Heathland
2024,29963.816,30453.406,31008.684,29:15.0,19,Ozimops ridei,Wet Heathland
2024,29358.094,29593.527,30019.928,26:28.2,18,Ozimops ridei,Wet Heathland
2024,29094.371,29392.309,29853.223,29:17.4,19,Ozimops ridei,Wet Heathland
2024,37804.707,38873.543,41440.246,18:27:04,18,38khz,Wet Heathland
2024,38206.461,39189.902,42056.242,27:05.4,18,38khz,Wet Heathland
2024,37902.859,39118.316,41885.77,27:06.8,18,38khz,Wet Heathland
2024,38885.316,40167.055,44690.027,27:11.8,18,38khz,Wet Heathland
2024,38741.602,39687.391,42784.023,18:59.0,21,38khz,Wet Heathland
2024,28500.037,30307.178,34072.574,17:59.1,21,Social,Wet Heathland
2024,18724.111,20283.914,25231.654,18:00.4,21,Social,Wet Heathland
2024,28986.268,29591.207,30305.66,29:19.6,21,Ozimops ridei,Wet Heathland
2024,28675.676,29441.816,30369.742,29:20.7,21,Ozimops ridei,Wet Heathland
2024,39506.891,41326.273,45873.762,54:21.0,21,38khz,Wet Heathland
2024,38930.137,39733.367,41279.852,54:24.3,21,38khz,Wet Heathland
2024,17345.762,20019.918,25584.836,22:51.9,20,Social,Wet Heathland
2024,17009.191,18776.242,22895.191,22:52.9,20,,Wet Heathland
2024,15658.756,18318.713,24403.043,22:53.9,20,White Striped,Wet Heathland
2024,13701.556,16102.397,21738.242,22:55.4,20,White Striped,Wet Heathland
2024,38285.461,39900.652,44616.711,37:14.3,22,38khz,Wet Heathland
2024,38605.18,40446.164,46617.711,32:24.0,22,38khz,Wet Heathland
2024,40005.293,42087.461,47692.898,32:25.7,22,38khz,Wet Heathland
2024,39185.113,40527.945,44166.77,32:26.7,22,38khz,Wet Heathland
2024,39241.539,42107.945,48980.645,32:29.1,22,38khz,Wet Heathland
2024,39000.34,41067.148,48263.18,32:31.6,22,,Wet Heathland
2024,39641.496,41727.031,46825.219,32:33.4,22,38khz,Wet Heathland
2024,39609.727,40997.555,45082.855,32:35.2,22,38khz,Wet Heathland
2024,38599.094,40334.129,43573.629,33:32.8,22,38khz,Wet Heathland
2024,39238.52,41123.844,45502.383,33:34.1,22,38khz,Wet Heathland
2024,38564.973,41032.141,48396.691,33:36.3,22,38khz,Wet Heathland
2024,39025.32,40692.414,47084.891,16:32.2,0,38khz,Wet Heathland
2024,39252.219,41055.344,47068.617,16:33.1,0,38khz,Wet Heathland
2024,39674.555,40792.305,43299.922,17:17.0,0,38khz,Wet Heathland
2024,38834.953,40165.102,45037.273,18:12.6,0,38khz,Wet Heathland
2024,39084.172,40473.133,45128.66,18:13.4,0,38khz,Wet Heathland
2024,39317.207,40473.457,43735.559,24:50.1,0,38khz,Wet Heathland
2024,39702.969,40477.781,42144.984,25:17.0,0,38khz,Wet Heathland
2024,38963.086,39720.324,41126.59,24:55.5,0,38khz,Wet Heathland
2024,39409.824,40317.852,41904.344,25:17.9,0,38khz,Wet Heathland
2024,39124.219,39964.254,41241.5,0:25:00,0,38khz,Wet Heathland
2024,39314.641,40172.688,42090.555,25:01.8,0,38khz,Wet Heathland
2024,38669.301,39864.133,43517.223,25:04.2,0,38khz,Wet Heathland
2024,39451.734,40050.031,41454.547,25:07.9,0,38khz,Wet Heathland
2024,38634.754,39783.559,42875.078,0:27:55,0,38khz,Wet Heathland
2024,38743.43,39218.305,40014.188,0:30:50,0,38khz,Wet Heathland
2024,38745.262,39524.582,41670.621,30:51.1,0,38khz,Wet Heathland
2024,39314.641,40004.414,41997.945,30:53.8,0,38khz,Wet Heathland
2024,17903.172,18127.416,18398.457,00:05.0,1,Social,Wet Heathland
2024,17496.285,18747.863,19458.553,00:06.1,1,Social,Wet Heathland
2024,19418.027,20215.781,21763.98,00:07.7,1,social,Wet Heathland
2024,18125.781,18332.65,18549.777,00:08.9,1,social,Wet Heathland
2024,19152.609,19885.008,20408.965,00:15.0,1,social,Wet Heathland
2024,18873.229,19169.436,19672.879,00:15.9,1,social,Wet Heathland
2024,17458.377,17952.328,18719.592,00:16.8,1,social,Wet Heathland
2024,38717.664,40146.316,44164.219,25:51.0,3,38khz,Wet Heathland
2024,38777.191,39635.125,42292.051,20:27.3,3,38khz,Wet Heathland
2024,37977.73,38894.117,40824.918,20:29.4,3,38khz,Wet Heathland
2024,39705.559,41228.582,45610.777,51:53.1,3,38khz,Wet Heathland
2024,38724.473,40302.281,44253.074,48:58.3,2,38khz,Wet Heathland
2024,38777.633,40135.133,44811.91,49:02.8,2,38khz,Wet Heathland
