Long,FOLDER,IN FILE,Year,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH*,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID,Lat,Long,Main Habitat,REVIEW USERID,INPATHMD5
E:\Josh Output,long calls,ANM100_20240816_232806.wav,2024,0.000886,4.057459,25656.275,26070.484,26585.33,16/08/2024,23:28:06,23,16/08/2024,11:28:06,11,NOISE,0.182008,cluster.03,0.284088,cluster.01,0.441092,1,NOISE,-26.502079,153.080228,suburb,,2nKqIyLOdKjEK6CELZCmoQ==
E:\Josh Output,,ANM100_20230803_230202_000.wav,2024,2.843524,0.299747,25917.227,26178.936,26470.764,3/08/2023,02:04.8,23,3/08/2023,02:04.8,11,NOISE,0.183326,cluster.03,0.274044,cluster.01,0.447014,1,NOISE,-26.502079,153.080228,suburb,,6O4n2BLIlJ6EZM0box2XTQ==
E:\Josh Output,,ANM100_20230803_230209_000.wav,2024,2.139335,0.99388,25991.115,26236.113,26539.051,3/08/2023,02:11.1,23,3/08/2023,02:11.1,11,NOISE,0.186587,cluster.03,0.27503,cluster.04,0.441986,1,NOISE,-26.502079,153.080228,suburb,,02GomGJPkuzPEtSb5WyFkg==
E:\Josh Output,,ANM100_20240816_233505_000.wav,2024,0.153436,6.195075,25973.746,26340.184,26717.27,16/08/2024,35:05.2,23,16/08/2024,35:05.2,11,NOISE,0.216584,cluster.03,0.38458,cluster.01,0.411758,1,NOISE,-26.502079,153.080228,suburb,,kfsJjJaUGcpgcBYnfo5iiA==
E:\Josh Output,long calls,ANM100_20240816_233505.wav,2024,0.153436,6.195075,25973.746,26340.184,26717.27,16/08/2024,35:05.2,23,16/08/2024,35:05.2,11,NOISE,0.216584,cluster.03,0.38458,cluster.01,0.411758,1,NOISE,-26.502079,153.080228,suburb,,GDsAUDURlAa5omaVYjZRbg==
E:\Josh Output,,ANM100_20240816_233001_000.wav,2024,0.041248,7.77782,25585.836,25985.861,26413.225,16/08/2024,30:01.0,23,16/08/2024,30:01.0,11,NOISE,0.220088,cluster.03,0.332178,cluster.01,0.444851,1,NOISE,-26.502079,153.080228,suburb,,hiti7UDVArbGwoI/lheG1w==
E:\Josh Output,long calls,ANM100_20240816_233001.wav,2024,0.041248,7.77782,25585.836,25985.861,26413.225,16/08/2024,30:01.0,23,16/08/2024,30:01.0,11,NOISE,0.220088,cluster.03,0.332178,cluster.01,0.444851,1,NOISE,-26.502079,153.080228,suburb,,pmXW/7XEJKNjBAULqbQyPg==
E:\Josh Output,,ANM100_20230801_004509_000.wav,2024,8.455224,1.092227,27293.596,27502.266,27744.152,1/08/2023,45:17.5,0,31/07/2023,45:17.5,12,NOISE,0.221445,cluster.01,0.226159,cluster.02,0.500334,1,NOISE,-26.502079,153.080228,suburb,,SrL7Kzl36LgqTuYvdRW/7w==
E:\Josh Output,long calls,ANM100_20230801_004509.wav,2024,8.455224,1.092227,27293.596,27502.266,27744.152,1/08/2023,45:17.5,0,31/07/2023,45:17.5,12,NOISE,0.221445,cluster.01,0.226159,cluster.02,0.500334,1,NOISE,-26.502079,153.080228,suburb,,POQmc76iVJZ2+WS9dw2VLg==
E:\Josh Output,,ANM100_20240816_233200_000.wav,2024,0.010188,4.064768,26970.301,27262.277,27583.566,16/08/2024,32:00.0,23,16/08/2024,32:00.0,11,NOISE,0.22969,cluster.01,0.248043,cluster.02,0.518987,1,NOISE,-26.502079,153.080228,suburb,,lj2cY/GLF8L8glZctXoMeA==
E:\Josh Output,long calls,ANM100_20240816_233200.wav,2024,0.010188,4.064768,26970.301,27262.277,27583.566,16/08/2024,32:00.0,23,16/08/2024,32:00.0,11,NOISE,0.22969,cluster.01,0.248043,cluster.02,0.518987,1,NOISE,-26.502079,153.080228,suburb,,YURMgassCf2aY4XPTZrGyA==
E:\Josh Output,,ANM100_20230803_230209_000.wav,2024,0.006118,0.849138,26243.832,26508.863,26795.469,3/08/2023,02:09.0,23,3/08/2023,02:09.0,11,NOISE,0.231006,cluster.01,0.322672,cluster.03,0.514317,1,NOISE,-26.502079,153.080228,suburb,,02GomGJPkuzPEtSb5WyFkg==
E:\Josh Output,,ANM100_20240812_224500_000.wav,2024,0.064555,0.262217,26583.934,26876.639,27174.678,12/08/2024,45:00.1,22,12/08/2024,45:00.1,10,NOISE,0.242156,cluster.01,0.263707,cluster.02,0.521379,1,NOISE,-26.502079,153.080228,suburb,,uOd0v9CESOL1zBxlXsrMRg==
E:\Josh Output,,ANM100_20230803_224006_000.wav,2024,2.871906,0.689591,26386.424,26674.514,26929.594,3/08/2023,40:08.9,22,3/08/2023,40:08.9,10,NOISE,0.265044,cluster.01,0.339241,cluster.03,0.535957,1,NOISE,-26.502079,153.080228,suburb,,TplomSy3V/clISJLSXzorQ==
E:\Josh Output,,ANM100_20240816_235604_000.wav,2024,0.068581,3.058692,26339.324,26802.953,27400.402,16/08/2024,56:04.1,23,16/08/2024,56:04.1,11,NOISE,0.291854,cluster.01,0.412104,cluster.03,0.505824,1,NOISE,-26.502079,153.080228,suburb,,15zOCLvcfAtvAQ3dvFlIcg==
E:\Josh Output,long calls,ANM100_20240816_235604.wav,2024,0.068581,3.058692,26339.324,26802.953,27400.402,16/08/2024,56:04.1,23,16/08/2024,56:04.1,11,NOISE,0.291854,cluster.01,0.412104,cluster.03,0.505824,1,NOISE,-26.502079,153.080228,suburb,,kassfqdUTR0csvXzDhYKYA==
E:\Josh Output,,ANM100_20230803_224006_000.wav,2024,1.225845,1.04756,26312.553,26587.959,26880.98,3/08/2023,40:07.2,22,3/08/2023,40:07.2,10,NOISE,0.344343,cluster.01,0.407963,cluster.03,0.566211,1,NOISE,-26.502079,153.080228,suburb,,TplomSy3V/clISJLSXzorQ==
E:\Josh Output,,ANM100_20240816_233305_000.wav,2024,0.000827,3.002945,27175.189,27363.914,27588.105,16/08/2024,23:33:05,23,16/08/2024,11:33:05,11,NOISE,0.363578,cluster.01,0.37739,cluster.02,0.586261,1,NOISE,-26.502079,153.080228,suburb,,j0by6PakOuaF1wQDV1gISw==
E:\Josh Output,long calls,ANM100_20240816_233305.wav,2024,0.000827,3.002945,27175.189,27363.914,27588.105,16/08/2024,23:33:05,23,16/08/2024,11:33:05,11,NOISE,0.363578,cluster.01,0.37739,cluster.02,0.586261,1,NOISE,-26.502079,153.080228,suburb,,RpNsz2M2xNyDI8d9KTy6dQ==
