INDIR,FOLDER,IN FILE,Year,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH*,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID,Lat,Long,Main Habitat,REVIEW USERID,INPATHMD5
E:\Katrin,,KATRIN_20240924_014115_000.wav,2024,0.000531,1.987873,56718.801,58616.945,64467.363,24/09/2024,1:41:15,1,23/09/2024,13:41:15,13,Miniaus,0.182113,cluster.01,1.405926,cluster.23,1.406948,1,Miniaus,-26.679499,194.107683,Suburb,,OCXIIXRjhmAAbarzf4sykQ==
E:\Katrin,,KATRIN_20240924_234259_000.wav,2024,1.860447,2.49748,54826.23,57428.062,62985.445,24/09/2024,43:00.9,23,24/09/2024,43:00.9,11,Miniaus,0.182541,cluster.01,1.405927,cluster.23,1.406933,1,Miniaus,-26.679499,195.107683,Suburb,,+MkPAs8YN3ajaZFK3oIErw==
E:\Katrin,,KATRIN_20240927_020158_000.wav,2024,0.000477,1.163644,56312.879,58235.352,64755.133,27/09/2024,2:01:58,2,26/09/2024,14:01:58,14,Miniaus,0.183681,cluster.01,1.40593,cluster.08,1.407063,1,Miniaus,-26.679499,196.107683,Suburb,,DBZb6gXeovmIjF7nMPSD3Q==
E:\Katrin,,KATRIN_20240926_025153_000.wav,2024,0.000553,2.944847,56146.234,58018.773,62120.668,26/09/2024,2:51:53,2,25/09/2024,14:51:53,14,Miniaus,0.186695,cluster.01,1.405927,cluster.23,1.406842,1,Miniaus,-26.679499,197.107683,Suburb,,l7QEA3+SJw445TDrIb4liA==
E:\Katrin,,KATRIN_20240912_035018_000.wav,2024,1.832172,3.125083,56512.492,58902.578,66261.945,12/09/2024,50:19.8,3,11/09/2024,50:19.8,15,Miniaus,0.18706,cluster.01,1.405925,cluster.08,1.407063,1,Miniaus,-26.679499,198.107683,Suburb,,M8/PdJwp8sAMGQyYD4Z5qg==
E:\Katrin,,KATRIN_20241005_032845_000.wav,2024,0.436858,4.693814,55753.949,57745.41,62631.336,5/10/2024,28:45.4,3,4/10/2024,28:45.4,15,Miniaus,0.187622,cluster.01,1.405928,cluster.08,1.407063,1,Miniaus,-26.679499,199.107683,Suburb,,owPa10AGIjv2TYmrk9I6sg==
E:\Katrin,,KATRIN_20240923_002453_000.wav,2024,0.146144,4.198979,56551.422,58725.527,65008.117,23/09/2024,24:53.1,0,22/09/2024,24:53.1,12,Miniaus,0.187796,cluster.01,1.405926,cluster.08,1.407063,1,Miniaus,-26.679499,200.107683,Suburb,,WfiQwFPFfYGmQoDqasWvPQ==
E:\Katrin,,KATRIN_20240923_225022_000.wav,2024,1.452745,2.119309,56344.02,57844.707,62829.285,23/09/2024,50:23.5,22,23/09/2024,50:23.5,10,Miniaus,0.188043,cluster.01,1.405926,cluster.23,1.406969,1,Miniaus,-26.679499,201.107683,Suburb,,FaK7Ld9Ne6D3+SfkeGeIdQ==
E:\Katrin,,KATRIN_20241006_015919_000.wav,2024,1.521436,6.306219,55528.203,57530.57,64234.594,6/10/2024,59:20.5,1,5/10/2024,59:20.5,13,Miniaus,0.18855,cluster.01,1.405926,cluster.08,1.407062,1,Miniaus,-26.679499,202.107683,Suburb,,2Y64bkf9XpkTaf9g+M9WIg==
E:\Katrin,,KATRIN_20240926_223008_000.wav,2024,0.109042,4.911066,55567.102,57355.789,62312.344,26/09/2024,30:08.1,22,26/09/2024,30:08.1,10,Miniaus,0.189254,cluster.01,1.405929,cluster.08,1.407063,1,Miniaus,-26.679499,203.107683,Suburb,,MTqocD76cboVHN3EwdJPiA==
E:\Katrin,,KATRIN_20240917_233526_000.wav,2024,4.290388,1.688,55566.855,57512.996,63059.199,17/09/2024,35:30.3,23,17/09/2024,35:30.3,11,Miniaus,0.189469,cluster.01,1.405925,cluster.23,1.40696,1,Miniaus,-26.679499,204.107683,Suburb,,uLJi5IJkMVemJ1VKv4cwDA==
E:\Katrin,,KATRIN_20240917_233526_000.wav,2024,0.222654,3.557596,56390.832,59531.531,68055.82,17/09/2024,35:26.2,23,17/09/2024,35:26.2,11,Miniaus,0.18998,cluster.01,1.405936,cluster.08,1.407063,1,Miniaus,-26.679499,205.107683,Suburb,,uLJi5IJkMVemJ1VKv4cwDA==
E:\Katrin,,KATRIN_20241005_003934_000.wav,2024,0.000524,3.32286,56058.457,57757.816,62887.516,5/10/2024,0:39:34,0,4/10/2024,12:39:34,12,Miniaus,0.191219,cluster.01,1.405924,cluster.23,1.406726,1,Miniaus,-26.679499,206.107683,Suburb,,YCy+GSyDDlRXzZ53CeV/MQ==
E:\Katrin,,KATRIN_20240926_001130_000.wav,2024,0.00077,3.738657,56376.621,59087.41,68859.148,26/09/2024,0:11:30,0,25/09/2024,12:11:30,12,Miniaus,0.192821,cluster.01,1.40593,cluster.08,1.407063,1,Miniaus,-26.679499,207.107683,Suburb,,3sAZZNnevsjjcuIuFNRg+g==
E:\Katrin,,KATRIN_20240926_025239_000.wav,2024,0.000551,2.196843,56599.523,58304.047,63147.934,26/09/2024,2:52:39,2,25/09/2024,14:52:39,14,Miniaus,0.195527,cluster.01,1.405926,cluster.23,1.406904,1,Miniaus,-26.679499,208.107683,Suburb,,5aoCY0L3PQhXIWQn/YGQ/w==
E:\Katrin,,KATRIN_20240926_014128_000.wav,2024,4.410261,3.448665,56194.949,57929.926,63108.969,26/09/2024,41:32.4,1,25/09/2024,41:32.4,13,Miniaus,0.196209,cluster.01,1.405926,cluster.23,1.407012,1,Miniaus,-26.679499,209.107683,Suburb,,OsbM4K7zmjJzgK1jxJrxbA==
E:\Katrin,,KATRIN_20241005_031113_000.wav,2024,0.000492,3.114024,55509,58576.105,67274.43,5/10/2024,3:11:13,3,4/10/2024,15:11:13,15,Miniaus,0.19656,cluster.01,1.405936,cluster.08,1.407063,1,Miniaus,-26.679499,210.107683,Suburb,,G+rq0lLqkkhLR1fr/wcH3A==
E:\Katrin,,KATRIN_20241002_021733_000.wav,2024,0.000498,1.904228,55631.387,57884.945,63322.066,2/10/2024,2:17:33,2,1/10/2024,14:17:33,14,Miniaus,0.198014,cluster.01,1.405926,cluster.08,1.407064,1,Miniaus,-26.679499,211.107683,Suburb,,+TmbuyS3zEUK6wgK08MGGw==
E:\Katrin,,KATRIN_20241010_231611_000.wav,2024,0.847745,3.484751,55649.523,58128.887,66638.039,10/10/2024,16:11.8,23,10/10/2024,16:11.8,11,Miniaus,0.199692,cluster.01,1.405933,cluster.08,1.407063,1,Miniaus,-26.679499,212.107683,Suburb,,ROi/JJFtPuEzfVBVjlMIFQ==
E:\Katrin,,KATRIN_20241004_000157_000.wav,2024,0.218171,1.843943,56293.289,58110.422,63476.078,4/10/2024,01:57.2,0,3/10/2024,01:57.2,12,Miniaus,0.200411,cluster.01,1.405925,cluster.23,1.406818,1,Miniaus,-26.679499,213.107683,Suburb,,FNPxg5LGn74RePCyhX7XOA==
E:\Katrin,,KATRIN_20240923_224806_000.wav,2024,0.000531,2.5926,56920.059,58736.121,66188.219,23/09/2024,22:48:06,22,23/09/2024,10:48:06,10,Miniaus,0.200559,cluster.01,1.405926,cluster.08,1.407063,1,Miniaus,-26.679499,214.107683,Suburb,,sek0s710PP0BLDfWnXOzpA==
E:\Katrin,,KATRIN_20240924_235203_000.wav,2024,0.000438,2.105441,55014.172,57741.031,62502.414,24/09/2024,23:52:03,23,24/09/2024,11:52:03,11,Miniaus,0.201911,cluster.01,1.405926,cluster.23,1.40702,1,Miniaus,-26.679499,215.107683,Suburb,,WHkN9x3GorxLryFiCQCFFg==
E:\Katrin,,KATRIN_20240928_184627_000.wav,2024,0.000505,2.250653,56507.195,58750.918,66985.188,28/09/2024,18:46:27,18,28/09/2024,6:46:27,6,Miniaus,0.202154,cluster.01,1.405935,cluster.08,1.407063,1,Miniaus,-26.679499,216.107683,Suburb,,n/76AGee6p/fwidsu/Acsg==
E:\Katrin,,KATRIN_20240919_031828_000.wav,2024,0.635459,5.570681,56281.312,58545.41,65203.348,19/09/2024,18:28.6,3,18/09/2024,18:28.6,15,Miniaus,0.20257,cluster.01,1.405939,cluster.08,1.407063,1,Miniaus,-26.679499,217.107683,Suburb,,XRpUC6tzk4xhPfH9iM3FcA==
E:\Katrin,,KATRIN_20241005_035047_000.wav,2024,1.034052,2.304041,55691.434,57802.992,62780.965,5/10/2024,50:48.0,3,4/10/2024,50:48.0,15,Miniaus,0.20304,cluster.01,1.405926,cluster.23,1.406769,1,Miniaus,-26.679499,218.107683,Suburb,,b4CHX9VgXuS8I4oHIlF9sQ==
E:\Katrin,,KATRIN_20241005_004001_000.wav,2024,0.107402,2.232523,56115.387,58561.723,67131.086,5/10/2024,40:01.1,0,4/10/2024,40:01.1,12,Miniaus,0.204026,cluster.01,1.405928,cluster.08,1.407063,1,Miniaus,-26.679499,219.107683,Suburb,,D45bpY4xRlk8CiCKmwYv4A==
E:\Katrin,,KATRIN_20240927_021619_000.wav,2024,0.094017,2.938189,56892.871,59036.121,66569.023,27/09/2024,16:19.1,2,26/09/2024,16:19.1,14,Miniaus,0.205876,cluster.01,1.405932,cluster.08,1.407063,1,Miniaus,-26.679499,220.107683,Suburb,,C+iB1+ArS5HHOyIHCvhYhQ==
E:\Katrin,,KATRIN_20240923_224607_000.wav,2024,0.000566,2.54905,56406.477,57662.352,61613.168,23/09/2024,22:46:07,22,23/09/2024,10:46:07,10,Miniaus,0.207006,cluster.01,1.405926,cluster.23,1.406959,1,Miniaus,-26.679499,221.107683,Suburb,,Mg3hV2sUG4m8mipnd1c0iA==
E:\Katrin,,KATRIN_20240924_213301_000.wav,2024,0.000476,2.190342,55939.523,58486.891,65645.594,24/09/2024,21:33:01,21,24/09/2024,9:33:01,9,Miniaus,0.207224,cluster.01,1.405925,cluster.08,1.407063,1,Miniaus,-26.679499,222.107683,Suburb,,VzvDE/VfsIq4hOYuOLSIlg==
E:\Katrin,,KATRIN_20240923_001145_000.wav,2024,0.120096,2.243028,56549.824,57943.77,63057.242,23/09/2024,11:45.1,0,22/09/2024,11:45.1,12,Miniaus,0.207474,cluster.01,1.405926,cluster.23,1.406796,1,Miniaus,-26.679499,223.107683,Suburb,,r9U8Xk6i+yuWTZOe31Msww==
E:\Katrin,,KATRIN_20240924_024025_000.wav,2024,0.000532,3.883336,56786.219,59619.172,71081.453,24/09/2024,2:40:25,2,23/09/2024,14:40:25,14,Miniaus,0.208339,cluster.01,1.405933,cluster.08,1.407063,1,Miniaus,-26.679499,224.107683,Suburb,,/+4zfTCdb6a/bO9zg0/rLw==
E:\Katrin,,KATRIN_20241001_015641_000.wav,2024,2.287494,4.894889,55426.98,58425.723,69336.133,1/10/2024,56:43.3,1,30/09/2024,56:43.3,13,Miniaus,0.210096,cluster.01,1.405933,cluster.08,1.407063,1,Miniaus,-26.679499,225.107683,Suburb,,CkPfWH5XaRa6gL74DxsHag==
E:\Katrin,,KATRIN_20240927_205200_000.wav,2024,1.272985,2.304184,56434.992,59157.656,71083.359,27/09/2024,52:01.3,20,27/09/2024,52:01.3,8,Miniaus,0.210244,cluster.01,1.405928,cluster.08,1.407063,1,Miniaus,-26.679499,226.107683,Suburb,,dd7ByszOksXAVhN0xryvmg==
E:\Katrin,,KATRIN_20240927_233439_000.wav,2024,0.000552,2.383096,57259.465,58964.02,64624.371,27/09/2024,23:34:39,23,27/09/2024,11:34:39,11,Miniaus,0.212441,cluster.01,1.405928,cluster.08,1.407064,1,Miniaus,-26.679499,227.107683,Suburb,,aSmWBZY9V3Uf7btL6jSkPQ==
E:\Katrin,,KATRIN_20240922_234602_000.wav,2024,1.448467,1.179601,56604.43,58834.703,65632.93,22/09/2024,46:03.4,23,22/09/2024,46:03.4,11,Miniaus,0.214526,cluster.01,1.405927,cluster.08,1.407065,1,Miniaus,-26.679499,228.107683,Suburb,,bXRZlPvAPPlX9iNtCT0DYw==
E:\Katrin,,KATRIN_20241005_221345_000.wav,2024,0.000544,1.813143,54917.273,57341.113,66597.32,5/10/2024,22:13:45,22,5/10/2024,10:13:45,10,Miniaus,0.215832,cluster.18,1.346785,cluster.19,1.347882,1,Miniaus,-26.679499,229.107683,Suburb,,819McFlT02lEFeLt0e9IiA==
E:\Katrin,,KATRIN_20240927_223933_000.wav,2024,1.686913,1.444724,55165.129,57487,63312.875,27/09/2024,39:34.7,22,27/09/2024,39:34.7,10,Miniaus,0.219141,cluster.01,1.405925,cluster.23,1.406811,1,Miniaus,-26.679499,230.107683,Suburb,,gKkI0FZazE3I6Fo4+UehNQ==
E:\Katrin,,KATRIN_20240922_220647_000.wav,2024,0.393821,2.162563,55985.113,59619.016,72017.875,22/09/2024,06:47.4,22,22/09/2024,06:47.4,10,Miniaus,0.220813,cluster.01,1.405926,cluster.08,1.407064,1,Miniaus,-26.679499,231.107683,Suburb,,I3gjseRAQiq0mffXiYK8pw==
